split,image,class_id,w_norm,h_norm,w_px,h_px,min_wh_threshold,line
train2,197_1784.jpg,0,0.013672,0.047852,14.0,49.0,0.015,0 0.006836 0.149902 0.013672 0.047852
train2,197_5883.jpg,0,0.012695,0.039062,13.0,40.0,0.015,0 0.993652 0.291992 0.012695 0.039062
train2,197_7805.jpg,0,0.012695,0.045898,13.0,47.0,0.015,0 0.993652 0.729980 0.012695 0.045898
train2,197_977.jpg,0,0.010742,0.038086,11.0,39.0,0.015,0 0.994629 0.576660 0.010742 0.038086
train2,198_2559.jpg,0,0.009766,0.038086,10.0,39.0,0.015,0 0.995117 0.710449 0.009766 0.038086
train2,198_3839.jpg,0,0.014648,0.032227,15.0,33.0,0.015,0 0.019043 0.547363 0.014648 0.032227
train2,198_4054.jpg,0,0.035156,0.007812,36.0,8.0,0.015,0 0.611328 0.887695 0.035156 0.007812
train2,199_4446.jpg,0,0.013672,0.040039,14.0,41.0,0.015,0 0.012695 0.681152 0.013672 0.040039
train2,201_10015.jpg,0,0.011719,0.040039,12.0,41.0,0.015,0 0.994141 0.397949 0.011719 0.040039
train2,202_11747.jpg,0,0.014648,0.037109,15.0,38.0,0.015,0 0.992676 0.673828 0.014648 0.037109
train2,202_11770.jpg,0,0.011719,0.041016,12.0,42.0,0.015,0 0.994141 0.700195 0.011719 0.041016
train2,204_10793.jpg,0,0.010742,0.045898,11.0,47.0,0.015,0 0.994629 0.119629 0.010742 0.045898
train2,204_11881.jpg,0,0.010742,0.053711,11.0,55.0,0.015,0 0.994629 0.720215 0.010742 0.053711
train2,205_1496.jpg,0,0.013379,0.052051,13.7,53.3,0.015,0 0.016650 0.528174 0.013379 0.052051
train2,205_1496.jpg,0,0.013477,0.052734,13.8,54.0,0.015,0 0.017285 0.511230 0.013477 0.052734
train2,205_778.jpg,0,0.012988,0.054297,13.3,55.6,0.015,0 0.006689 0.090332 0.012988 0.054297
train2,206_10799.jpg,0,0.014648,0.038086,15.0,39.0,0.015,0 0.992676 0.098145 0.014648 0.038086
train2,206_811.jpg,0,0.011719,0.053711,12.0,55.0,0.015,0 0.005859 0.100098 0.011719 0.053711
train2,20_5767.jpg,0,0.032227,0.013672,33.0,14.0,0.015,0 0.287598 0.888672 0.032227 0.013672
train2,20_5780.jpg,0,0.038086,0.013672,39.0,14.0,0.015,0 0.430176 0.883789 0.038086 0.013672
train2,212_759.jpg,0,0.012695,0.048828,13.0,50.0,0.015,0 0.006348 0.170898 0.012695 0.048828
train2,212_7789.jpg,0,0.010938,0.038770,11.2,39.7,0.015,0 0.994531 0.365674 0.010938 0.038770
train2,212_8056.jpg,0,0.010742,0.040039,11.0,41.0,0.015,0 0.994629 0.712402 0.010742 0.040039
train2,212_8060.jpg,0,0.014453,0.030078,14.8,30.8,0.015,0 0.992773 0.715918 0.014453 0.030078
train2,212_8060.jpg,0,0.014258,0.050391,14.6,51.6,0.015,0 0.992871 0.704785 0.014258 0.050391
train2,212_8060.jpg,0,0.014160,0.037012,14.5,37.9,0.015,0 0.992920 0.722217 0.014160 0.037012
train2,212_8060.jpg,0,0.014062,0.050684,14.4,51.9,0.015,0 0.992969 0.731982 0.014062 0.050684
train2,213_7257.jpg,0,0.014648,0.047852,15.0,49.0,0.015,0 0.007324 0.221191 0.014648 0.047852
train2,213_8109.jpg,0,0.047852,0.013672,49.0,14.0,0.015,0 0.885254 0.901367 0.047852 0.013672
train2,213_830.jpg,0,0.010742,0.044922,11.0,46.0,0.015,0 0.005371 0.201172 0.010742 0.044922
train2,215_1023.jpg,0,0.009766,0.048828,10.0,50.0,0.015,0 0.995117 0.368164 0.009766 0.048828
train2,215_1262.jpg,0,0.012305,0.037207,12.6,38.1,0.015,0 0.993848 0.763330 0.012305 0.037207
train2,215_1262.jpg,0,0.012500,0.049414,12.8,50.6,0.015,0 0.993750 0.771191 0.012500 0.049414
train2,215_1262.jpg,0,0.012012,0.047559,12.3,48.7,0.015,0 0.993994 0.751514 0.012012 0.047559
train2,215_1264.jpg,0,0.013086,0.034961,13.4,35.8,0.015,0 0.993457 0.763477 0.013086 0.034961
train2,215_1264.jpg,0,0.012793,0.048242,13.1,49.4,0.015,0 0.993604 0.751660 0.012793 0.048242
train2,215_1264.jpg,0,0.013086,0.047949,13.4,49.1,0.015,0 0.993457 0.771729 0.013086 0.047949
train2,215_2811.jpg,0,0.014648,0.034180,15.0,35.0,0.015,0 0.007324 0.862793 0.014648 0.034180
train2,215_2837.jpg,0,0.006836,0.035156,7.0,36.0,0.015,0 0.996582 0.593750 0.006836 0.035156
train2,215_810.jpg,0,0.014648,0.052734,15.0,54.0,0.015,0 0.007324 0.169922 0.014648 0.052734
train2,216_3461.jpg,0,0.032227,0.008789,33.0,9.0,0.015,0 0.068848 0.907715 0.032227 0.008789
train2,216_545.jpg,0,0.013672,0.041016,14.0,42.0,0.015,0 0.993164 0.094727 0.013672 0.041016
train2,225_3233.jpg,0,0.034180,0.010742,35.0,11.0,0.015,0 0.689941 0.889160 0.034180 0.010742
train2,225_4634.jpg,0,0.026367,0.013672,27.0,14.0,0.015,0 0.232910 0.892578 0.026367 0.013672
train2,225_4720.jpg,0,0.034180,0.011719,35.0,12.0,0.015,0 0.704590 0.889648 0.034180 0.011719
train2,225_4800.jpg,0,0.033203,0.013672,34.0,14.0,0.015,0 0.180664 0.896484 0.033203 0.013672
train2,225_5009.jpg,0,0.024414,0.009766,25.0,10.0,0.015,0 0.732910 0.891602 0.024414 0.009766
train2,225_5109.jpg,0,0.025391,0.013672,26.0,14.0,0.015,0 0.152344 0.898438 0.025391 0.013672
train2,225_5827.jpg,0,0.046875,0.014648,48.0,15.0,0.015,0 0.329102 0.887207 0.046875 0.014648
train2,225_7495.jpg,0,0.008789,0.036133,9.0,37.0,0.015,0 0.004395 0.795410 0.008789 0.036133
train2,225_8328.jpg,0,0.012695,0.046875,13.0,48.0,0.015,0 0.009277 0.258789 0.012695 0.046875
train2,228_18639.jpg,0,0.043945,0.013672,45.0,14.0,0.015,0 0.877441 0.900391 0.043945 0.013672
train2,229_1025.jpg,0,0.030762,0.014844,31.5,15.2,0.015,0 0.496533 0.104004 0.030762 0.014844
train2,229_12.jpg,0,0.014648,0.033203,15.0,34.0,0.015,0 0.016113 0.619141 0.014648 0.033203
train2,229_126.jpg,0,0.013672,0.028320,14.0,29.0,0.015,0 0.011719 0.704590 0.013672 0.028320
train2,229_1348.jpg,0,0.044922,0.009766,46.0,10.0,0.015,0 0.534180 0.884766 0.044922 0.009766
train2,229_1357.jpg,0,0.034180,0.013672,35.0,14.0,0.015,0 0.430176 0.883789 0.034180 0.013672
train2,229_1364.jpg,0,0.047852,0.009766,49.0,10.0,0.015,0 0.503418 0.884766 0.047852 0.009766
train2,229_1370.jpg,0,0.033203,0.013672,34.0,14.0,0.015,0 0.638672 0.885742 0.033203 0.013672
train2,229_1377.jpg,0,0.034180,0.009766,35.0,10.0,0.015,0 0.522949 0.884766 0.034180 0.009766
train2,229_1635.jpg,0,0.031250,0.013672,32.0,14.0,0.015,0 0.596680 0.883789 0.031250 0.013672
train2,229_1646.jpg,0,0.036133,0.011719,37.0,12.0,0.015,0 0.623535 0.885742 0.036133 0.011719
train2,229_1646.jpg,0,0.031250,0.011719,32.0,12.0,0.015,0 0.699219 0.888672 0.031250 0.011719
train2,229_1651.jpg,0,0.026367,0.013672,27.0,14.0,0.015,0 0.745605 0.890625 0.026367 0.013672
train2,229_1657.jpg,0,0.036133,0.010742,37.0,11.0,0.015,0 0.609863 0.886230 0.036133 0.010742
train2,229_1682.jpg,0,0.039062,0.009766,40.0,10.0,0.015,0 0.581055 0.885742 0.039062 0.009766
train2,229_2175.jpg,0,0.049805,0.014648,51.0,15.0,0.015,0 0.371582 0.104980 0.049805 0.014648
train2,229_2379.jpg,0,0.035156,0.011719,36.0,12.0,0.015,0 0.462891 0.883789 0.035156 0.011719
train2,229_2389.jpg,0,0.049805,0.014648,51.0,15.0,0.015,0 0.472168 0.882324 0.049805 0.014648
train2,229_2400.jpg,0,0.022461,0.012695,23.0,13.0,0.015,0 0.306152 0.888184 0.022461 0.012695
train2,229_2404.jpg,0,0.037109,0.013672,38.0,14.0,0.015,0 0.443359 0.883789 0.037109 0.013672
train2,229_530.jpg,0,0.006836,0.028320,7.0,29.0,0.015,0 0.996582 0.681152 0.006836 0.028320
train2,229_530.jpg,0,0.010742,0.032227,11.0,33.0,0.015,0 0.994629 0.594238 0.010742 0.032227
train2,229_533.jpg,0,0.008789,0.033203,9.0,34.0,0.015,0 0.995605 0.581055 0.008789 0.033203
train2,229_544.jpg,0,0.012695,0.029297,13.0,30.0,0.015,0 0.993652 0.533203 0.012695 0.029297
train2,229_544.jpg,0,0.008789,0.030273,9.0,31.0,0.015,0 0.995605 0.619629 0.008789 0.030273
train2,229_552.jpg,0,0.012695,0.032227,13.0,33.0,0.015,0 0.993652 0.531738 0.012695 0.032227
train2,229_575.jpg,0,0.011719,0.030273,12.0,31.0,0.015,0 0.994141 0.574707 0.011719 0.030273
train2,229_614.jpg,0,0.014648,0.035156,15.0,36.0,0.015,0 0.992676 0.563477 0.014648 0.035156
train2,229_807.jpg,0,0.012500,0.049805,12.8,51.0,0.015,0 0.993750 0.091602 0.012500 0.049805
train2,230_1165.jpg,0,0.042969,0.009766,44.0,10.0,0.015,0 0.467773 0.884766 0.042969 0.009766
train2,230_1198.jpg,0,0.039062,0.011719,40.0,12.0,0.015,0 0.431641 0.884766 0.039062 0.011719
train2,230_1239.jpg,0,0.041992,0.012695,43.0,13.0,0.015,0 0.604980 0.885254 0.041992 0.012695
train2,230_1239.jpg,0,0.042969,0.012695,44.0,13.0,0.015,0 0.667969 0.887207 0.042969 0.012695
train2,230_1240.jpg,0,0.040039,0.012695,41.0,13.0,0.015,0 0.604004 0.885254 0.040039 0.012695
train2,230_1524.jpg,0,0.013672,0.033203,14.0,34.0,0.015,0 0.993164 0.284180 0.013672 0.033203
train2,230_2484.jpg,0,0.030273,0.013672,31.0,14.0,0.015,0 0.678223 0.886719 0.030273 0.013672
train2,230_4690.jpg,0,0.009766,0.041016,10.0,42.0,0.015,0 0.004883 0.194336 0.009766 0.041016
train2,231_1322.jpg,0,0.063477,0.012695,65.0,13.0,0.015,0 0.249512 0.893066 0.063477 0.012695
train2,231_1347.jpg,0,0.058594,0.013672,60.0,14.0,0.015,0 0.773438 0.893555 0.058594 0.013672
train2,231_2757.jpg,0,0.011719,0.041016,12.0,42.0,0.015,0 0.005859 0.775391 0.011719 0.041016
train2,231_934.jpg,0,0.014648,0.044922,15.0,46.0,0.015,0 0.009277 0.253906 0.014648 0.044922
train2,232_1121.jpg,0,0.041016,0.014648,42.0,15.0,0.015,0 0.253906 0.891113 0.041016 0.014648
train2,232_1188.jpg,0,0.043945,0.012695,45.0,13.0,0.015,0 0.854004 0.898926 0.043945 0.012695
train2,232_264.jpg,0,0.014648,0.028320,15.0,29.0,0.015,0 0.016113 0.358887 0.014648 0.028320
train2,232_2751.jpg,0,0.012695,0.037109,13.0,38.0,0.015,0 0.993652 0.479492 0.012695 0.037109
train2,232_3292.jpg,0,0.014648,0.039062,15.0,40.0,0.015,0 0.007324 0.154297 0.014648 0.039062
train2,232_5178.jpg,0,0.038086,0.009766,39.0,10.0,0.015,0 0.281738 0.891602 0.038086 0.009766
train2,234_187.jpg,0,0.014648,0.034180,15.0,35.0,0.015,0 0.013184 0.309082 0.014648 0.034180
train2,234_3686.jpg,0,0.012695,0.046875,13.0,48.0,0.015,0 0.993652 0.794922 0.012695 0.046875
train2,234_4948.jpg,0,0.062500,0.014648,64.0,15.0,0.015,0 0.555664 0.883301 0.062500 0.014648
train2,235_1290.jpg,0,0.041992,0.014648,43.0,15.0,0.015,0 0.845215 0.896973 0.041992 0.014648
train2,235_3744.jpg,0,0.012695,0.051758,13.0,53.0,0.015,0 0.993652 0.468262 0.012695 0.051758
train2,235_3785.jpg,0,0.009766,0.037109,10.0,38.0,0.015,0 0.995117 0.449219 0.009766 0.037109
train2,235_4017.jpg,0,0.013672,0.028320,14.0,29.0,0.015,0 0.993164 0.766113 0.013672 0.028320
train2,235_5079.jpg,0,0.029297,0.012695,30.0,13.0,0.015,0 0.985352 0.909668 0.029297 0.012695
train2,235_6166.jpg,0,0.041016,0.012695,42.0,13.0,0.015,0 0.315430 0.888184 0.041016 0.012695
train2,235_960.jpg,0,0.050781,0.012695,52.0,13.0,0.015,0 0.266602 0.891113 0.050781 0.012695
train2,236_4603.jpg,0,0.012695,0.049805,13.0,51.0,0.015,0 0.993652 0.105957 0.012695 0.049805
train2,238_11874.jpg,0,0.014648,0.065430,15.0,67.0,0.015,0 0.992676 0.724121 0.014648 0.065430
train2,241_12009.jpg,0,0.010742,0.040039,11.0,41.0,0.015,0 0.994629 0.165527 0.010742 0.040039
train2,242_10635.jpg,0,0.012695,0.060254,13.0,61.7,0.015,0 0.993652 0.103076 0.012695 0.060254
train2,242_12002.jpg,0,0.014648,0.041016,15.0,42.0,0.015,0 0.992676 0.545898 0.014648 0.041016
train2,244_3566.jpg,0,0.008789,0.050781,9.0,52.0,0.015,0 0.995605 0.467773 0.008789 0.050781
train2,244_4866.jpg,0,0.012695,0.055664,13.0,57.0,0.015,0 0.993652 0.650879 0.012695 0.055664
train2,244_5961.jpg,0,0.048828,0.013672,50.0,14.0,0.015,0 0.323242 0.887695 0.048828 0.013672
train2,244_5973.jpg,0,0.038086,0.014648,39.0,15.0,0.015,0 0.244629 0.891113 0.038086 0.014648
train2,244_6202.jpg,0,0.011719,0.043945,12.0,45.0,0.015,0 0.994141 0.572754 0.011719 0.043945
train2,244_6716.jpg,0,0.043945,0.014648,45.0,15.0,0.015,0 0.817871 0.895020 0.043945 0.014648
train2,245_4862.jpg,0,0.012695,0.057617,13.0,59.0,0.015,0 0.993652 0.656738 0.012695 0.057617
train2,245_6593.jpg,0,0.014648,0.048828,15.0,50.0,0.015,0 0.992676 0.880859 0.014648 0.048828
train2,245_7079.jpg,0,0.008789,0.055664,9.0,57.0,0.015,0 0.004395 0.849121 0.008789 0.055664
train2,245_8283.jpg,0,0.047852,0.010742,49.0,11.0,0.015,0 0.369629 0.887207 0.047852 0.010742
train2,247_1001.jpg,0,0.041992,0.010742,43.0,11.0,0.015,0 0.946777 0.907715 0.041992 0.010742
train2,247_1001.jpg,0,0.046875,0.012695,48.0,13.0,0.015,0 0.846680 0.898926 0.046875 0.012695
train2,247_1312.jpg,0,0.047852,0.009766,49.0,10.0,0.015,0 0.574707 0.885742 0.047852 0.009766
train2,247_1326.jpg,0,0.050781,0.011719,52.0,12.0,0.015,0 0.679688 0.888672 0.050781 0.011719
train2,247_1367.jpg,0,0.043945,0.014648,45.0,15.0,0.015,0 0.611816 0.884277 0.043945 0.014648
train2,247_1398.jpg,0,0.048828,0.011719,50.0,12.0,0.015,0 0.517578 0.883789 0.048828 0.011719
train2,247_1405.jpg,0,0.037109,0.013672,38.0,14.0,0.015,0 0.445312 0.883789 0.037109 0.013672
train2,247_1415.jpg,0,0.045898,0.012695,47.0,13.0,0.015,0 0.821777 0.896973 0.045898 0.012695
train2,247_1435.jpg,0,0.045898,0.014648,47.0,15.0,0.015,0 0.643066 0.885254 0.045898 0.014648
train2,247_1480.jpg,0,0.054688,0.010742,56.0,11.0,0.015,0 0.475586 0.884277 0.054688 0.010742
train2,247_1520.jpg,0,0.037793,0.014746,38.7,15.1,0.015,0 0.741260 0.890869 0.037793 0.014746
train2,247_2408.jpg,0,0.041992,0.012695,43.0,13.0,0.015,0 0.395996 0.885254 0.041992 0.012695
train2,247_2445.jpg,0,0.040039,0.010742,41.0,11.0,0.015,0 0.452637 0.885254 0.040039 0.010742
train2,247_2545.jpg,0,0.041016,0.013672,42.0,14.0,0.015,0 0.484375 0.882812 0.041016 0.013672
train2,247_2628.jpg,0,0.039062,0.010742,40.0,11.0,0.015,0 0.566406 0.885254 0.039062 0.010742
train2,247_2647.jpg,0,0.036133,0.007812,37.0,8.0,0.015,0 0.190918 0.898438 0.036133 0.007812
train2,247_2649.jpg,0,0.042969,0.010742,44.0,11.0,0.015,0 0.262695 0.892090 0.042969 0.010742
train2,247_2672.jpg,0,0.047852,0.012695,49.0,13.0,0.015,0 0.357910 0.886230 0.047852 0.012695
train2,247_2931.jpg,0,0.053711,0.014648,55.0,15.0,0.015,0 0.068848 0.905762 0.053711 0.014648
train2,247_2952.jpg,0,0.045898,0.011719,47.0,12.0,0.015,0 0.046387 0.909180 0.045898 0.011719
train2,247_3020.jpg,0,0.041016,0.011719,42.0,12.0,0.015,0 0.287109 0.890625 0.041016 0.011719
train2,247_3023.jpg,0,0.048828,0.007812,50.0,8.0,0.015,0 0.109375 0.905273 0.048828 0.007812
train2,247_3077.jpg,0,0.046875,0.012695,48.0,13.0,0.015,0 0.205078 0.895020 0.046875 0.012695
train2,247_3185.jpg,0,0.013672,0.042969,14.0,44.0,0.015,0 0.006836 0.094727 0.013672 0.042969
train2,247_721.jpg,0,0.007812,0.045898,8.0,47.0,0.015,0 0.996094 0.333496 0.007812 0.045898
train2,247_747.jpg,0,0.014648,0.044922,15.0,46.0,0.015,0 0.992676 0.295898 0.014648 0.044922
train2,247_929.jpg,0,0.045898,0.014648,47.0,15.0,0.015,0 0.732910 0.890137 0.045898 0.014648
train2,247_967.jpg,0,0.040039,0.013672,41.0,14.0,0.015,0 0.886230 0.901367 0.040039 0.013672
train2,248_21326.jpg,0,0.048828,0.011719,50.0,12.0,0.015,0 0.060547 0.916992 0.048828 0.011719
train2,248_21326.jpg,0,0.029297,0.011719,30.0,12.0,0.015,0 0.014648 0.919922 0.029297 0.011719
train2,248_21349.jpg,0,0.028320,0.010742,29.0,11.0,0.015,0 0.024902 0.919434 0.028320 0.010742
train2,248_21359.jpg,0,0.029297,0.012695,30.0,13.0,0.015,0 0.137695 0.909668 0.029297 0.012695
train2,248_21368.jpg,0,0.044922,0.006836,46.0,7.0,0.015,0 0.123047 0.914551 0.044922 0.006836
train2,248_21376.jpg,0,0.028320,0.011719,29.0,12.0,0.015,0 0.030762 0.918945 0.028320 0.011719
train2,248_21413.jpg,0,0.037109,0.014648,38.0,15.0,0.015,0 0.064453 0.914551 0.037109 0.014648
train2,248_21469.jpg,0,0.039062,0.010742,40.0,11.0,0.015,0 0.110352 0.913574 0.039062 0.010742
train2,248_22567.jpg,0,0.022461,0.010742,23.0,11.0,0.015,0 0.705566 0.900879 0.022461 0.010742
train2,248_22575.jpg,0,0.041016,0.008789,42.0,9.0,0.015,0 0.745117 0.903809 0.041016 0.008789
train2,248_22675.jpg,0,0.054688,0.007812,56.0,8.0,0.015,0 0.714844 0.903320 0.054688 0.007812
train2,248_22716.jpg,0,0.038086,0.011719,39.0,12.0,0.015,0 0.647949 0.898438 0.038086 0.011719
train2,248_22745.jpg,0,0.035156,0.003906,36.0,4.0,0.015,0 0.651367 0.902344 0.035156 0.003906
train2,248_22756.jpg,0,0.060547,0.010742,62.0,11.0,0.015,0 0.705078 0.901855 0.060547 0.010742
train2,248_22756.jpg,0,0.030273,0.012695,31.0,13.0,0.015,0 0.642090 0.896973 0.030273 0.012695
train2,248_22758.jpg,0,0.030273,0.004883,31.0,5.0,0.015,0 0.641113 0.900879 0.030273 0.004883
train2,248_22758.jpg,0,0.039062,0.011719,40.0,12.0,0.015,0 0.571289 0.896484 0.039062 0.011719
train2,248_22765.jpg,0,0.041992,0.007812,43.0,8.0,0.015,0 0.732910 0.904297 0.041992 0.007812
train2,248_22765.jpg,0,0.038086,0.009766,39.0,10.0,0.015,0 0.618652 0.898438 0.038086 0.009766
train2,249_4293.jpg,0,0.056641,0.008789,58.0,9.0,0.015,0 0.209961 0.907715 0.056641 0.008789
train2,249_4313.jpg,0,0.063477,0.013672,65.0,14.0,0.015,0 0.115723 0.912109 0.063477 0.013672
train2,249_4346.jpg,0,0.057617,0.014648,59.0,15.0,0.015,0 0.083496 0.914551 0.057617 0.014648
train2,249_6937.jpg,0,0.055664,0.012695,57.0,13.0,0.015,0 0.555176 0.895020 0.055664 0.012695
train2,249_6978.jpg,0,0.091797,0.006836,94.0,7.0,0.015,0 0.530273 0.897949 0.091797 0.006836
train2,249_7021.jpg,0,0.079102,0.012695,81.0,13.0,0.015,0 0.678223 0.899902 0.079102 0.012695
train2,249_7059.jpg,0,0.064453,0.003906,66.0,4.0,0.015,0 0.818359 0.911133 0.064453 0.003906
train2,249_7087.jpg,0,0.065430,0.013672,67.0,14.0,0.015,0 0.886230 0.912109 0.065430 0.013672
train2,249_7124.jpg,0,0.064453,0.014648,66.0,15.0,0.015,0 0.927734 0.914551 0.064453 0.014648
train2,250_13337.jpg,0,0.012695,0.046875,13.0,48.0,0.015,0 0.993652 0.172852 0.012695 0.046875
train2,250_13567.jpg,0,0.060547,0.014648,62.0,15.0,0.015,0 0.870117 0.909668 0.060547 0.014648
train2,250_4195.jpg,0,0.045898,0.014648,47.0,15.0,0.015,0 0.235840 0.902832 0.045898 0.014648
train2,250_4228.jpg,0,0.046875,0.010742,48.0,11.0,0.015,0 0.239258 0.904785 0.046875 0.010742
train2,250_4257.jpg,0,0.051758,0.008789,53.0,9.0,0.015,0 0.187988 0.908691 0.051758 0.008789
train2,250_4257.jpg,0,0.041016,0.002930,42.0,3.0,0.015,0 0.332031 0.903809 0.041016 0.002930
train2,250_4279.jpg,0,0.037109,0.010742,38.0,11.0,0.015,0 0.356445 0.898926 0.037109 0.010742
train2,250_4289.jpg,0,0.044922,0.007812,46.0,8.0,0.015,0 0.329102 0.901367 0.044922 0.007812
train2,250_4314.jpg,0,0.040039,0.014648,41.0,15.0,0.015,0 0.417480 0.895020 0.040039 0.014648
train2,250_4355.jpg,0,0.039062,0.013672,40.0,14.0,0.015,0 0.380859 0.896484 0.039062 0.013672
train2,250_610.jpg,0,0.041016,0.014648,42.0,15.0,0.015,0 0.358398 0.896973 0.041016 0.014648
train2,250_6204.jpg,0,0.052734,0.011719,54.0,12.0,0.015,0 0.864258 0.911133 0.052734 0.011719
train2,250_6244.jpg,0,0.051758,0.010742,53.0,11.0,0.015,0 0.904785 0.914551 0.051758 0.010742
train2,250_6368.jpg,0,0.043945,0.011719,45.0,12.0,0.015,0 0.660645 0.898438 0.043945 0.011719
train2,250_6393.jpg,0,0.041992,0.013672,43.0,14.0,0.015,0 0.756348 0.902344 0.041992 0.013672
train2,250_6405.jpg,0,0.045898,0.009766,47.0,10.0,0.015,0 0.670410 0.900391 0.045898 0.009766
train2,250_6405.jpg,0,0.037109,0.000977,38.0,1.0,0.015,0 0.728516 0.905762 0.037109 0.000977
train2,250_6606.jpg,0,0.014062,0.056836,14.4,58.2,0.015,0 0.992969 0.108105 0.014062 0.056836
train2,250_914.jpg,0,0.040039,0.012695,41.0,13.0,0.015,0 0.651855 0.897949 0.040039 0.012695
train2,251_3914.jpg,0,0.012695,0.035156,13.0,36.0,0.015,0 0.006348 0.110352 0.012695 0.035156
train2,251_4099.jpg,0,0.039062,0.012695,40.0,13.0,0.015,0 0.155273 0.908691 0.039062 0.012695
train2,251_4099.jpg,0,0.033203,0.014648,34.0,15.0,0.015,0 0.168945 0.906738 0.033203 0.014648
train2,251_4103.jpg,0,0.039062,0.004883,40.0,5.0,0.015,0 0.155273 0.912598 0.039062 0.004883
train2,251_4103.jpg,0,0.033203,0.006836,34.0,7.0,0.015,0 0.168945 0.910645 0.033203 0.006836
train2,251_4142.jpg,0,0.045898,0.014648,47.0,15.0,0.015,0 0.384277 0.895996 0.045898 0.014648
train2,251_4160.jpg,0,0.052734,0.004883,54.0,5.0,0.015,0 0.213867 0.908691 0.052734 0.004883
train2,251_4204.jpg,0,0.049805,0.013672,51.0,14.0,0.015,0 0.214355 0.904297 0.049805 0.013672
train2,251_4243.jpg,0,0.049805,0.007812,51.0,8.0,0.015,0 0.175293 0.910156 0.049805 0.007812
train2,251_4282.jpg,0,0.043945,0.013672,45.0,14.0,0.015,0 0.123535 0.911133 0.043945 0.013672
train2,251_4296.jpg,0,0.044922,0.005859,46.0,6.0,0.015,0 0.208008 0.909180 0.044922 0.005859
train2,251_4320.jpg,0,0.044922,0.011719,46.0,12.0,0.015,0 0.342773 0.898438 0.044922 0.011719
train2,251_4320.jpg,0,0.043945,0.009766,45.0,10.0,0.015,0 0.377441 0.898438 0.043945 0.009766
train2,251_4353.jpg,0,0.045898,0.013672,47.0,14.0,0.015,0 0.055176 0.916016 0.045898 0.013672
train2,251_5802.jpg,0,0.040039,0.006836,41.0,7.0,0.015,0 0.520020 0.897949 0.040039 0.006836
train2,251_5802.jpg,0,0.051758,0.005859,53.0,6.0,0.015,0 0.652832 0.901367 0.051758 0.005859
train2,251_5812.jpg,0,0.049805,0.007812,51.0,8.0,0.015,0 0.640137 0.900391 0.049805 0.007812
train2,251_5834.jpg,0,0.038086,0.012695,39.0,13.0,0.015,0 0.571777 0.895996 0.038086 0.012695
train2,251_5874.jpg,0,0.044922,0.012695,46.0,13.0,0.015,0 0.653320 0.897949 0.044922 0.012695
train2,251_5894.jpg,0,0.042969,0.011719,44.0,12.0,0.015,0 0.619141 0.897461 0.042969 0.011719
train2,251_5929.jpg,0,0.043945,0.009766,45.0,10.0,0.015,0 0.687988 0.900391 0.043945 0.009766
train2,251_5991.jpg,0,0.049805,0.008789,51.0,9.0,0.015,0 0.645020 0.899902 0.049805 0.008789
train2,251_6023.jpg,0,0.050781,0.010742,52.0,11.0,0.015,0 0.669922 0.899902 0.050781 0.010742
train2,251_6437.jpg,0,0.008789,0.005859,9.0,6.0,0.015,0 0.695801 0.116211 0.008789 0.005859
train2,252_4266.jpg,0,0.043945,0.004883,45.0,5.0,0.015,0 0.129395 0.914551 0.043945 0.004883
train2,252_4279.jpg,0,0.061523,0.013672,63.0,14.0,0.015,0 0.196777 0.906250 0.061523 0.013672
train2,252_4320.jpg,0,0.053711,0.012695,55.0,13.0,0.015,0 0.192871 0.906738 0.053711 0.012695
train2,252_4383.jpg,0,0.046875,0.010742,48.0,11.0,0.015,0 0.132812 0.911621 0.046875 0.010742
train2,252_4436.jpg,0,0.041016,0.006836,42.0,7.0,0.015,0 0.225586 0.906738 0.041016 0.006836
train2,252_4479.jpg,0,0.050781,0.012695,52.0,13.0,0.015,0 0.357422 0.897949 0.050781 0.012695
train2,252_4479.jpg,0,0.044922,0.012695,46.0,13.0,0.015,0 0.285156 0.900879 0.044922 0.012695
train2,252_4505.jpg,0,0.041992,0.013672,43.0,14.0,0.015,0 0.309082 0.899414 0.041992 0.013672
train2,252_4534.jpg,0,0.049805,0.006836,51.0,7.0,0.015,0 0.449707 0.897949 0.049805 0.006836
train2,252_4586.jpg,0,0.045898,0.012695,47.0,13.0,0.015,0 0.303223 0.899902 0.045898 0.012695
train2,252_4636.jpg,0,0.042969,0.005859,44.0,6.0,0.015,0 0.341797 0.901367 0.042969 0.005859
train2,252_4651.jpg,0,0.045898,0.013672,47.0,14.0,0.015,0 0.326660 0.898438 0.045898 0.013672
train2,252_6220.jpg,0,0.068359,0.005859,70.0,6.0,0.015,0 0.807617 0.910156 0.068359 0.005859
train2,252_6276.jpg,0,0.056641,0.012695,58.0,13.0,0.015,0 0.778320 0.904785 0.056641 0.012695
train2,252_6304.jpg,0,0.043945,0.011719,45.0,12.0,0.015,0 0.922363 0.915039 0.043945 0.011719
train2,252_6317.jpg,0,0.051758,0.013672,53.0,14.0,0.015,0 0.861816 0.909180 0.051758 0.013672
train2,252_6328.jpg,0,0.043945,0.014648,45.0,15.0,0.015,0 0.787598 0.903809 0.043945 0.014648
train2,252_6347.jpg,0,0.048828,0.011719,50.0,12.0,0.015,0 0.842773 0.909180 0.048828 0.011719
train2,252_6354.jpg,0,0.047852,0.007812,49.0,8.0,0.015,0 0.752441 0.905273 0.047852 0.007812
